PharmGKB Accession Id	Name	Generic Names	Trade Names	Brand Mixtures	Type	Cross-references	SMILES	Dosing Guideline	External Vocabulary
PA165817516	1,25-dihydroxyvitamin d3				Drug/Small Molecule	null		No	"NDFRT:N0000006511(Calcitriol [Chemical/Ingredient])","UMLS:C0006674(Calcitriol)"
PA165820585	1,7-dimethylxanthine	"17X","paraxanthine"			Drug/Small Molecule	"PubChem Compound:4687"		No	null
PA451991	1-methyloxy-4-sulfone-benzene				Drug/Small Molecule	"DrugBank:DB03033","PDB:MSB","PubChem Compound:3952261","PubChem Substance:7889047"	COC1=CC=C(C=C1)[S](=O)=O	No	null
PA165817198	10,11-dihydro-10,11-dihydroxy-5h-dibenzazepine-5-carboxamide	"CBZ diol","carbamazepine diol","cbz-diol"			Drug/Small Molecule	"PubChem Compound:83852"		No	null
PA165946747	10-hydroxyamitriptyline				Drug/Small Molecule	"PubChem Compound:6420900"		No	null
PA165946719	10-hydroxynortriptyline				Drug/Small Molecule	"PubChem Compound:6420504"		No	null
PA166104278	2-(3-(4-ethoxybenzyl)-4-chlorophenyl)-6-hydroxymethyltetrahydro-2h-pyran-3,4,5-triol	""2-(3-(4-ethoxybenzyl)-4-chlorophenyl)-6-hydroxymethyltetrahydro-2H-pyran-3,4,5-triol""	"Forxiga"		Drug/Small Molecule	"PubChem Compound:56841156"		No	null
PA164712302	2-amino-1-phenylethanol derivatives				Drug Class	null		No	"ATC:C04AA(2-amino-1-phenylethanol derivatives)"
PA165817200	2-hydroxycarbamazepine				Drug/Small Molecule	"PubChem Compound:129274"		No	null
PA134967247	2-methoxyestradiol				Drug/Small Molecule	null		No	null
PA131887008	3,4-methylenedioxymethamphetamine	"Ecstasy","MDMA"			Drug/Small Molecule	"ChEBI:1391","ChemSpider:1556","DrugBank:DB01454","KEGG Compound:C07577","PubChem Compound:1615","PubChem Substance:46506404","PubChem Substance:9780","Web Resource:http://en.wikipedia.org/wiki/3%2C4-Methylenedioxymethamphetamine"		No	null
PA165958321	3,5-dimethyl-2-(3-pyridyl)thiazolidin-4-one	""( )-cis-3,5-Dimethyl-2-(3-pyridyl)thiazolidin-4-one hydrochloride"","AC1L433Y",""3,5-dimethyl-2-(3-pyridyl)thiazolidin-4-one"","SM-12502","130841-70-2","158511-47-8","SM-10661",""4-Thiazolidinone, 3,5-dimethyl-2-(3-pyridinyl)-, monohydrochloride, cis-(+-)-""			Drug/Small Molecule	"PubChem Compound:178014"		No	null
PA165945765	3-((6-amino-(4-chlorobenzenesulfonyl)-2-methyl-5,6,7,8-tetrahydronapht)-1-yl)propionic acid	"terutroban"			Drug/Small Molecule	"PubChem Compound:23674098"		No	null
PA165858618	3-aminopyridine-2-carboxaldehyde thiosemicarbazone				Drug/Small Molecule	"PubChem Compound:9571836"		No	null
PA451993	3-beta-hydroxy-5-androsten-17-one	"5-dhea","3-beta-hydroxy-5-androsten-17-one","5-dehydroepiandrosterone","prasterone","dha","dhea"	"OVIGYN-D","Fidelin"		Drug/Small Molecule	"ChEBI:28689","ChemSpider:5670","DrugBank:DB01708","IUPHAR Ligand:2370","KEGG Compound:C01227","PDB:AND","PubChem Compound:5881","PubChem Substance:4449","PubChem Substance:46508824"		No	"MeSH:C033625(Gynodian)","MeSH:C452866(GL-701)"
PA166123047	3-cyano-7-ethoxycoumarin				Drug/Small Molecule	"PubChem Compound:164045"		No	null
PA165817197	3-hydroxycarbamazepine				Drug/Small Molecule	"PubChem Compound:135290"		No	null
PA164712303	3-oxoandrosten (4) derivatives				Drug Class	null		No	"ATC:G03BA(3-oxoandrosten (4) derivatives)"
PA166122786	4,6,4'-trimethylangelicin				Drug/Small Molecule	"PubChem Compound:107731"		No	null
PA151958637	4-methylthioamphetamine				Drug/Small Molecule	null	CC(Cc1ccc(cc1)SC)N	No	null
PA154081778	4-methylumbelliferone				Drug/Small Molecule	null	Cc1cc(=O)oc2c1ccc(c2)O	No	null
PA164712304	5-androstanon (3) derivatives				Drug Class	null		No	"ATC:G03BB(5-androstanon (3) derivatives)"
PA165823908	5-phenyl-5-(4-hydroxyphenyl)hydantoin glucuronide	"hydroxyphenytoin glucuronide","p-HPPH glucuronide"			Drug/Small Molecule	"PubChem Compound:135250"		No	null
PA151958362	6,7-dihydroxybergamottin				Drug/Small Molecule	null		No	null
PA130230922	6-o-phosphoryl inosine monophosphate				Drug/Small Molecule	"DrugBank:DB03510","PDB:IMO","PubChem Compound:444818","PubChem Compound:46936701","PubChem Substance:46506764","PubChem Substance:7888380"		No	null
PA165291924	7-deoxydoxorubicinone				Drug/Small Molecule	null		No	null
PA152530740	8-cyclopentyl-1,3-dipropylxanthine	"8-cyclopentyl-1"			Drug/Small Molecule	null		No	null
PA448004	abacavir	"ABC","abacavir"	"Epzicom","Ziagen"	"Kivexa (Abacavir Sulfate + Lamivudine)","Trizivir (Abacavir Sulfate + Lamivudine + Zidovudine)"	Drug/Small Molecule	"ChEBI:2360","ChemSpider:58649","ClinicalTrials.gov:NCT00340080","ClinicalTrials.gov:NCT00373945","DrugBank:DB01048","Drugs Product Database (DPD):2240358","FDA Drug Label at DailyMed:6a3b10fc-4b2a-45e3-16a1-ef79187a6dfb","KEGG Compound:C07624","KEGG Drug:D07057","National Drug Code Directory:0173-0661-01","PubChem Compound:441300","PubChem Compound:65140","PubChem Substance:208126","PubChem Substance:46505718","Therapeutic Targets Database:DAP000704","Web Resource:http://en.wikipedia.org/wiki/Abacavir"		Yes	"ATC:J05AF(Nucleoside and nucleotide reverse transcriptase inhibitors)","MeSH:C106538(abacavir)","NDFRT:N0000022135(ABACAVIR)","RxNorm:190521(abacavir)","UMLS:C0663655(abacavir)"
