PharmagkbID	Drug Names	Approved
PA165817516	1,25-dihydroxyvitamin d3	False
PA165820585	1,7-dimethylxanthine|17X|paraxanthine	False
PA451991	1-methyloxy-4-sulfone-benzene	False
PA165817198	10,11-dihydro-10,11-dihydroxy-5h-dibenzazepine-5-carboxamide|CBZ diol|carbamazepine diol|cbz-diol	False
PA165946747	10-hydroxyamitriptyline	False
PA165946719	10-hydroxynortriptyline	False
PA166104278	2-(3-(4-ethoxybenzyl)-4-chlorophenyl)-6-hydroxymethyltetrahydro-2h-pyran-3,4,5-triol|2-(3-(4-ethoxybenzyl)-4-chlorophenyl)-6-hydroxymethyltetrahydro-2H-pyran-3,4,5-triol|Forxiga	False
PA164712302	2-amino-1-phenylethanol derivatives	False
PA165817200	2-hydroxycarbamazepine	False
PA134967247	2-methoxyestradiol	False
PA131887008	3,4-methylenedioxymethamphetamine|Ecstasy|MDMA	False
PA165958321	3,5-dimethyl-2-(3-pyridyl)thiazolidin-4-one|( )-cis-3,5-Dimethyl-2-(3-pyridyl)thiazolidin-4-one hydrochloride|AC1L433Y|SM-12502|130841-70-2|158511-47-8|SM-10661|4-Thiazolidinone, 3,5-dimethyl-2-(3-pyridinyl)-, monohydrochloride, cis-(+-)-	False
PA165945765	terutroban|3-((6-amino-(4-chlorobenzenesulfonyl)-2-methyl-5,6,7,8-tetrahydronapht)-1-yl)propionic acid	False
PA165858618	3-aminopyridine-2-carboxaldehyde thiosemicarbazone	False
PA451993	3-beta-hydroxy-5-androsten-17-one|5-dhea|5-dehydroepiandrosterone|prasterone|dha|dhea|OVIGYN-D|Fidelin	False
PA166123047	3-cyano-7-ethoxycoumarin	False
PA165817197	3-hydroxycarbamazepine	False
PA164712303	3-oxoandrosten (4) derivatives	False
PA166122786	4,6,4'-trimethylangelicin	False
PA151958637	4-methylthioamphetamine	False
PA154081778	4-methylumbelliferone	False
PA164712304	5-androstanon (3) derivatives	False
PA165823908	5-phenyl-5-(4-hydroxyphenyl)hydantoin glucuronide|hydroxyphenytoin glucuronide|p-HPPH glucuronide	False
PA151958362	6,7-dihydroxybergamottin	False
PA130230922	6-o-phosphoryl inosine monophosphate	False
PA165291924	7-deoxydoxorubicinone	False
PA152530740	8-cyclopentyl-1,3-dipropylxanthine|8-cyclopentyl-1	False
PA448004	abacavir|ABC|Epzicom|Ziagen	True
PA164754915	abarelix|Plenaxis	True
PA164747080	abatacept|CTLA4-IgG4m|RG-1046|CTLA4Ig|RG1046|CTLA4-Ig|RG-2077|RG2077|CTLA4IgG4m|Orencia	True
PA448006	abciximab|ReoPro|7E3 antibody|antiGPIIBIIIa|c7E3	True
PA166123407	abiraterone	False
PA166104276	ABT-751	False
PA10344	acamprosate|N-Acetylhomotaurine|3-Acetamido-1-propanesulfonic acid|3-(Acetylamino)propanesulphonic acid|Campral	True
PA448010	acarbose|Prandase|Precose|Glucobay	True
PA164712305	ACE inhibitors and calcium channel blockers	False
PA164712306	ACE inhibitors and diuretics	False
PA164712307	Ace Inhibitors, Combinations	False
PA164712308	Ace Inhibitors, Plain|Ace Inhibitor	False
PA448011	acebutolol|Acebutololo|Acetobutolol|Acebutolol HCL|dl-Acebutolol|acebutolol hydrochloride|Sectral|Prent|Neptal|Monitan	True
PA166049185	aceclofenac	False
PA166049184	acemetacin	False
PA452632	acenocoumarol|Acenocoumarolum [inn-latin]|Nitrophenylacetylethyl-4-hydroxycoumarine|Nicoumalone|Acenocoumarin|Nicumalon|Nitrowarfarin|Nitrovarfarian|Syntrom|Mini-sintrom|Sintrom|Sinkumar|Syncoumar|Neositron|Ascumar|Sincoumar|Syncumar|Zotil|Sinthrome|Sinthrom	False
PA164783999	acepromazine|Ace|10-(3-dimethylaminopropyl)phenothiazin-3-yl methyl ketone|Acetylpromazine|10-(3-dimethylaminopropyl)phenothiazine-3-ethylone|ACP|Atravet|Acezine 2	False
PA164743727	aceprometazine|Aceprometazina [inn-spanish]|Aceprometazinum [inn-latin]|10-(2-(Dimethylamino)propyl)phenothiazin-2-yl methyl ketone|Acepromethazine|Mepronizine	False
PA448014	acetamide mea	False
PA448015	acetaminophen|APAP|Acetaminofen|Paracetamol|Paracetanol|Paracetamolo|Tibizide|Tralgon|Calpol|Tussapap|Hy-Phen|Panofen|Tycolet|Drixoral Plus|Panets|Tylenol|Ultracet|Napafen|Disprol|Apamide|Aminofen|Enelfa|Atasol|Pacemo|Tempanal|Tavist Allergy/Sinus/Headache|Servigesic|Painex|Injectapap|Eneril|Bucet|SK-Apap|Co-Gesic|Homoolan|Nealgyl|Lyteca|Acetalgin|Feverall|Actamin|Abensanil|Naprinol|Tapar|Tempra|Algotropyl|Dypap|Pyrinazine|Salzone|Valadol|Febridol|Liquiprin|Fendon|Captin|Lonarid|Phrenilin Forte|Oraphen-PD|Nebs|Anapap|Febro-Gesic|Tizide|Apadon|Doliprane|Apamid|Dymadon|Neotrend|Cetadol|Alpiny|Rounox|Apacet|Excedrin|Rivalgyl|Panex|Anaflon|Paraspen|Eu-Med|Aceta Elixir|Dapa|Propacet 100|Conacetol|Parapan|St. Joseph Fever Reducer|Elixodyne|Phrenilin|Abenol|Prompt|Talacen|Tencon|Multin|Sedapap|Anacin-3|Pasolind|Paldesic|Panadol|Bickie-mol|Exdol|Actimol|Tisiodrazida|Papa-Deine|Phenaphen Caplets|Tabalgin|Fevor|Phenaphen|Napap|Febrilix|Dularin|Tibinide|Genapap|Norco|Dafalgan|Tapanol|Alvedon|Datril|Bayer Select|Aceta Tablets|Febrinol|Acephen|Febrolin|Genebs|Dimindol|Temlo|Anacin|Panaleve|Acetagesic|Redutemp|Paracet|Allay|Acamol|NAPA|Accu-Tap|Synalgos-Dc-A|Valgesic|Amadil|Anelix|Panasorb|Valorin|Phendon|Valorin Extra|Korum|Janupap|Finimal|Banesin|Dapa X-S|Ortensan|Alpinyl|Darvocet|Anhiba|Clixodyne|Gelocatil|Dolene AP-65|Momentum|Pasolind N|Butapap|Dolprone|Snaplets-FR|Liquagesic|Tisin|Lestemp|Robigesic|Suppap|Dirox|Parmol|Neopap|Nobedon|Parelan|Hedex|Proval #3|Triaprin|Wygesic|Pedric	True
PA165983955	acetaminophen glucuronide	False
PA165983956	acetaminophen sulfate	False
PA165290927	acetaminophen/propoxyphene napsylate|Darvocet	True
PA448016	acetanilide	False
PA448018	acetazolamide|Acetozalamide|Acetazolamine|Acetazolamid|Carbonic Anhydrase Inhibitor 6063|Acetazoleamide|Acetazolamide Sodium|Acetamidothiadiazolesulfonamide|Acetazolam|Diamox|Glupax|Natrionex|Donmox|Duiramid|Diluran|Fonurit|Ak-Zol|Diuramid|Atenezol|Acetamox|Vetamox|Didoc|Eumicton|Nephramid|Sk-Acetazolamide|Cidamex|Diureticum-Holzinger|Dazamide|Nephramide|Defiltran|Diamox Sequels|Storzolamide|Phonurit|Diutazol|Diacarb|Apo-Acetazolamide|Glaupax|Dehydratin|Diakarb|Diuriwas|Edemox	True
PA448021	acetic acid|acetate|ethanoat|ethanoate|glacial acetic acid|ethanoic acid|Volsol|Borofair|Acetasol	True
PA164712309	Acetic acid derivatives and related substances	False
PA164777011	acetohexamide|Acetohexamid|Dimelin|Metaglucina|Gamadiabet|Tsiklamid|Dymelor|Dimelor|Cyclamide|Ordimel|Minoral|Hypoglicil	True
PA164749213	acetohydroxamic acid|Acetic acid, oxime|Acetohydroximic acid|N-Hydroxyacetamide|Acetyl hydroxyamino|AHA|Acethydroxamsaure|Acetylhydroxamic acid|Methylhydroxamic acid|Acetohydroxamate|Cetohyroxamic acid|Lithostat	True
PA448025	acetone	False
PA164781360	acetophenazine|Tindal	True
PA448031	acetylcholine|acetylcholine chloride	False
PA448033	acetylcysteine|NAC|N-acetylcysteine|Parvolex|ACC|Mucomyst|Fluimucil|Lysox|Mucolysin|Acetadote	True
PA164746246	acetyldigitoxin|alpha-monoacetyldigitoxin|acetyldiginatin|3'''-o-acetyldigitoxin|desglucolanatoside a|acetylgitoxin|alpha-acetyldigitoxin|Acylanid|Crystodigin|Acigoxin	True
PA448045	aciclovir|AC2|Aciclovier|Aciclovir Sodium|9-Hyroxyethoxymethylguanine|Acycloguanosine|Wellcome-248u|Acyclovir|Acyclovir Sodium|Zovirax Injection (Zovirax sodium)|Zovir|Virorax|Zovirax topical|Zovirax|Alti-Acyclovir|Vipral|Avirax	True
PA164712310	Acid preparations	False
PA164712311	Acidifiers	False
PA448039	acitretin|Neotigason|Soriatane|Acetretin	True
PA164712312	Acridine derivatives	False
PA164712313	Acth	True
PA164712314	Actinomycines	False
PA10004	adalimumab|Ig gamma-1 chain C region|Humira|Humira Pen	True
PA164712315	Adamantane derivatives	False
PA448047	adapalene|Adapaleno [INN-Spanish]|Adapalenum [INN-Latin]|Adaferin|Differin	True
PA10005	adefovir dipivoxil|Adefovir pivoxil|Adefovirdipivoxl|Adefovir|ADV|bis-POM PMEA|GS-840|PMEA|Preveon|Hepsera	True
PA448048	adenine|1H-Purin-6-amine|6-Aminopurine|Adenin|Adeninimine|Vitamin B4|Pedatisectine B|Leuco-4	False
PA448049	adenosine|MEDR-640|Adenine Deoxy Nucleoside|Adenine Riboside|Adenyldeoxyriboside|Desoxyadenosine|Adenine Deoxyribonucleoside|Adenine Deoxyribose|2'-Deoxyadenosine|Deoxyadenosine|USAF CB-10|Adenine Nucleoside|Adensoine|Adenoscan|Adenosin|Pallacor|Adenocor|Sandesin|Adenocard|Boniton|Myocol|Nucleocardyl	True
PA164744376	adenosine monophosphate|5'-AMP|AMP|Adenylate|Adenosine phosphate|Adenosine-5-monophosphoric acid|Adenosine-5'-monophosphoric acid|Adenosine-5'-Monophosphate|Adenosine 5'-(dihydrogen phosphate)|5'-Adenosine monophosphate|Adenylic acid|5'-Adenylic acid|Adenosine 5'-monophosphate|Adenosine 5'-phosphate|Adenosine 5'-phosphoric acid|Phosphentaside|Adenovite|Lycedan|Phosphaden|Cardiomone|Phosaden|My-B-Den	False
PA164743471	adenosine triphosphate|Adenylpyrophosphoric acid|Adenosine-5'-triphosphate|Triphosphoric acid adenosine ester|Adenosine 5'-triphosphate|Adenosine, 5'-(tetrahydrogen triphosphate)|5'-ATP|ATP|Adenosine 5'-triphosphoric acid|Triphosphaden|Adephos|Striadyne|Atipi|Atriphos|Fosfobion|Myotriphos|Adynol|Glucobasin|Adetol|Triadenyl|Cardenosine|Phosphobion	False
PA164783813	adinazolam|Adinazolamum [INN-Latin]|Deracyn	False
PA164712316	Adrenergic and dopaminergic agents	False
PA164712318	Adrenergics and other drugs for obstructive airway diseases	False
PA164712317	Adrenergics For Systemic Use	False
PA10405	adrenergics, inhalants	False
PA165981154	afatinib|BIBW 2992|Giotrif|Tovok|Tomtovok	False
PA165981139	afatinib dimaleate|afatinib maleate (jan)|d09733	False
PA452609	aflatoxin b1	False
PA166118342	aflibercept	False
PA166122586	afutuzumab|obinutuzumab|GAZYVA	True
PA164746527	agalsidase beta|Alpha-D- galactoside galactohydrolase|Melibiase|Agalsidase alfa|Alpha-D-galactosidase A|Alpha-galactosidase A precursor|Replagal|Fabrazyme	True
PA164712320	Agents Acting On The Renin-angiotensin System|RAAS acting drugs	False
PA164712321	Agents Against Amoebiasis And Other Protozoal Diseases	False
PA164712322	Agents Against Leishmaniasis And Trypanosomiasis	False
PA164712323	Agents For Treatment Of Hemorrhoids And	False
PA165958363	agomelatine|s-20098|s20098|Valdoxan|Melitor	False
PA164776839	ajmaline|Ajmalin	False
PA164746058	albendazole|Albenza|Eskazole|Valbazen|Zentel	True
PA165958399	alcaftadine|Lastacaft	True
