	0	1	Indication	ICD9	ICD10
0	D00SLY	Umeclidinium; 573719	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
1	D0L0MK	Pachycarpine; (+)-sparteine	Oxytocic		O00-O99
2	D0I6IP	Candicidin; (23E,25E,27E,29E,31E,33E,35E)-22-(4-amino-3,5-dihydroxy-6-methyloxan-2-yl)oxy-10,12,14,18,20-pentahydroxy-37-methyl-2,4,8,16-tetraoxo-1-oxacyclooctatriaconta-23,25,27,29,31,33,35-heptaene-19-carboxylic acid	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
3	D05KBU	Gabapentin enacarbil; 1838262; ASP8825; Gabapentin-XP; GSK 1838262; Horizant; Regnite; Solzira; XP13512	Unspecified		
4	D03QIP	fluciclovine F-18; 18F-Ge-148; 18F fluciclovine; [18F]-FACBC; Anti-1-amino-3-18F-fluorocyclobutane-1-carboxylic-acid; Anti-1-amino-3-F-18-fluorocyclobutane-1-carboxylic-acid; Anti-1-amino-3-fluorine-18-fluorocyclobutane-1-carboxylic acid; Anti-18-F-FACBC; Anti-18F-FABC; Anti-3-18F-FACBC; Anti-F-18-fluorocyclobutane-carboxylic-acid; Axumin; FACBC; Fluciclovine-F-18; GE-148; Ge-148-18F; Ge-148-F-18; NMK-36; Trans-1-amino-3-18F-fluorocyclobutanecarboxylic-acid	Suspected prostate cancer recurrence		C00-D49
5	D08BTB	protirelin; 24305-27-9; Hirtonin; TRH-SR, Takeda; protirelin	Unspecified		
6	D03VFL	TOCOTRIENOL; 2-Methyl-2-[[4,8,12-trimethyl-3(E),7(E),11(E)]-tridecatrienyl]-3,4-dihydro-2H-benzo[b]pyran-6-ol	Hyperlipidaemia	272.0-272.4	E78
7	D05AFC	Dalfopristin; 5-(2-DIETHYLAMINO-ETHANESULFONYL)-21-HYDROXY-10-ISOPROPYL-11,19-DIMETHYL-9,26-DIOXA-3,15,28-TRIAZA-TRICYCLO[23.2.1.00,255]OCTACOSA-1(27),12,17,19,25(28)-PENTAENE-2,8,14,23-TETRAONE	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
8	D0U5GS	dextroamphetamine sulfate (oral liquid, ADHD), Auriga; 51-63-8; Liquadd; dextroamphetamine sulfate; dextroamphetamine sulfate (oral liquid, ADHD), Auriga	Unspecified		
9	D0Z1FX	Estriol; Aacifemine; Destriol; ESL; Estratriol; Estriel; Estriolo; Gynaesan; Hemostyptanon; Holin; Hormomed; Hormonin; Klimoral; Oestratriol; Oestriol; Oestriolum; Orestin; Orgastyptin; Overstin; Ovestin; Ovestrion; Stiptanon; Synapause; Theelol; Thulol; Tridestrin; Trihydroxyestrin; Trihydroxyoestrin; Triodurin; Triovex; Deuslon A; Estriolo [Italian]; Folicular hormone; Follicular hormone hydrate; Oestriol [Steroidal oestrogens]; A 13610; E0218; OE3; Deuslon-A; Estriel (TN); Estriol [USAN:JAN]; Estriol, unconjugated; Ortho-Gynest; Estriol (JP15/USP); Estra-1,3,5(10)-trien-3,16alpha,17beta-triol; Estra-1,3,5(10)-triene-3,16,17-triol; Estra-1,3,5(10)-triene-3,16alpha,17beta-triol; Oestra-1,3,5(10)-triene-3,16alpha,17beta-triol; Oestra-1,3,5(10)-triene-3,16-alpha,17-beta-triol; Estra-1,3,5(10)-trien-3,16.alpha., 17.beta.-triol; Estra-1,3,5(10)-trien-3,16.alpha.,17.beta.-triol; Estra-1,3,5(10)-triene-3,16.alpha., 17.beta.-triol; Estra-1,3,5(10)-triene-3,16.alpha.,17.beta.-triol; Oestra-1,3,5(10)-triene-3,16.alpha., 17.beta.-triol; Oestra-1,3,5(10)-triene-3,16.alpha.,17.beta.-triol; (16.alpha.,17.beta.)-Estra-1,3,5(10)-triene-3,16,17-triol; (16.alpha.,17.beta.)-Oestra-1,3,5(10)-triene-3,16,17-triol; (16alpha,17beta)-Estra-1,3,5(10)-triene-3,16,17-triol; (16alpha,17beta)-Oestra-1,3,5(10)-triene-3,16,17-triol; 1,3,5(10)-ESTRATRIENE-3,16,17-TRIOL; 1,3,5(10)-Estratriene-3,16-alpha,17beta-triol; 1,3,5(10)-Estratriene-3,16.alpha., 17.beta.-triol; 1,3,5(10)-Estratriene-3,16.alpha.,17.beta.-triol; 1,3,5(10)-Estratriene-3,16alpha,17beta-Triol; 1,3,5-Estratriene-3.beta.,16-.alpha.,17-.beta.-triol; 1,3,5-Estratriene-3beta,16alpha,17beta-triol; 1,3,5-Oestratriene-3-.beta.,16.alpha.,17.beta.-triol; 1,3,5-Oestratriene-3beta,16alpha,17beta-triol; 16,17-Epiestriol; 16-Epiestriol; 16-Hydroxyestradiol; 16-alpha,17-beta-Estriol; 16-alpha,17-beta-Oestriol; 16-alpha-Hydroxyestradiol; 16-alpha-Hydroxyoestradiol; 16.alpha.,17.beta.-Estriol; 16.alpha.,17.beta.-Oestriol; 16.alpha.-Estriol; 16.alpha.-Hydroxy-17.beta.-estradiol; 16.alpha.-Hydroxyestradiol; 16.alpha.-Hydroxyoestradiol; 16alpha,17beta-Estriol; 16alpha,17beta-Oestriol; 16alpha-Hydroxy-17beta-estradiol; 16alpha-Hydroxyestradiol; 16alpha-Hydroxyoestradiol; 3,16-alpha,17-beta-Estriol; 3,16-alpha,17-beta-Oestriol; 3,16-alpha,17-beta-Trihydroxy-delta-1,3,5-estratriene; 3,16-alpha,17-beta-Trihydroxy-delta-1,3,5-oestratriene; 3,16-alpha,17-beta-Trihydroxyestra-1,3,5(10)-triene; 3,16-alpha,17-beta-Trihydroxyoestra-1,3,5(10)-triene; 3,16.alpha.,17.beta.-Estriol; 3,16.alpha.,17.beta.-Trihydroxy-.delta.-1,3,5-estratriene; 3,16.alpha.,17.beta.-Trihydroxy-.delta.-1,3,5-oestratriene; 3,16.alpha.,17.beta.-Trihydroxy-1,3,5(10)-estratriene; 3,16.alpha.,17.beta.-Trihydroxyestra-1,3,5(10)-triene; 3,16alpha,17beta-Estriol; 3,16alpha,17beta-Trihydroxy-1,3,5(10)-estratriene; 3,16alpha,17beta-Trihydroxy-delta-1,3,5-oestratriene; 3,16alpha,17beta-trihydroxy-Delta(1,3,5)-estratriene	Multiple scierosis; Hormone deficiency	340	G35, E00-E90
