Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL
1,NCT03564964,Expanded Access to Provide SUVN-502 for the Treatment of Subjects With Alzheimer's Disease,SUVN-502,Available,No Results Available,Alzheimer Disease|Dementia|Cognition Disorders,Drug: SUVN-502,,Suven Life Sciences Limited,All,"50 Years to 85 Years   (Adult, Older Adult)",,null,Industry,"Expanded Access:Intermediate-size Population""",,EAP1502HT6,null,null,null,21-Jun-18,null,25-Jun-18,,,https://ClinicalTrials.gov/show/NCT03564964
2,NCT03561194,Omegaven Protocol:Intermediate Size Patient Population,,Available,No Results Available,Parenteral Nutrition Associated Liver Disease,Other: Omegaven,,Doctors Hospital at Renaissance,All,22 Weeks to 40 Weeks   (Child),,null,Other,"Expanded Access:Intermediate-size Population""",,2,null,null,null,19-Jun-18,null,19-Jun-18,,,https://ClinicalTrials.gov/show/NCT03561194
3,NCT03559686,Named Patient Program With Certolizumab Pegol in Adults Suffering From Rheumatoid Aarthritis (RA),,Available,No Results Available,Rheumatoid Arthritis,Drug: Certolizumab Pegol,,UCB Biopharma S.P.R.L.|UCB Pharma,All,"18 Years and older   (Adult, Older Adult)",,null,Industry,"Expanded Access:Individual Patients""",,RA0039,null,null,null,18-Jun-18,null,18-Jun-18,,,https://ClinicalTrials.gov/show/NCT03559686
4,NCT03559673,Compassionate Use Program With Lacosamide in Patients With Partial-onset or Generalized Tonic-clonic Seizures,,Available,No Results Available,"Epilepsies, Partial",Drug: Lacosamide,,UCB Biopharma S.P.R.L.|UCB Pharma,All,"16 Years and older   (Child, Adult, Older Adult)",,null,Industry,"Expanded Access:Treatment IND/Protocol""",,EP0072,null,null,null,18-Jun-18,null,18-Jun-18,,,https://ClinicalTrials.gov/show/NCT03559673
5,NCT03559660,CUP Certolizumab Pegol (CDP-870) in Adults Suffering From Crohn's Disease (CD),,Available,No Results Available,Crohn's Disease,Drug: Certolizumab Pegol,,UCB Biopharma S.P.R.L.|UCB Pharma,All,"18 Years and older   (Adult, Older Adult)",,null,Industry,"Expanded Access:Individual Patients""",,C87092,null,null,null,18-Jun-18,null,18-Jun-18,,,https://ClinicalTrials.gov/show/NCT03559660
6,NCT03544060,Volanesorsen Early Access Program for Patients With Familial Chylomicronemia Syndrome (FCS),,Available,No Results Available,Familial Chylomicronemia,Drug: Volanesorsen,,"Akcea Therapeutics|CaligorRx, Inc.",All,"18 Years and older   (Adult, Older Adult)",,null,Industry|Other,"Expanded Access:Individual Patients""",,ISIS 304801,null,null,null,1-Jun-18,null,1-Jun-18,,,https://ClinicalTrials.gov/show/NCT03544060
7,NCT03539393,Expanded Access Program for Patients With Migraine,,Available,No Results Available,Migraine|Cluster Headache,Drug: Fremanezumab,,"Teva Branded Pharmaceutical Products, R&D Inc.|Teva Pharmaceutical Industries",All,"18 Years to 70 Years   (Adult, Older Adult)",,null,Industry,"Expanded Access:Treatment IND/Protocol""",,TV48125-CNS-80005,null,null,null,28-May-18,null,28-May-18,,,https://ClinicalTrials.gov/show/NCT03539393
8,NCT03539380,TRx0237 for the Treatment of Mild-Moderate Alzheimer's Disease,,Available,No Results Available,Alzheimer Disease,Drug: TRx0237,,TauRx Therapeutics Ltd,All,"Child, Adult, Older Adult",,null,Industry,"Expanded Access:Individual Patients""",,TRx-237-040,null,null,null,28-May-18,null,28-May-18,,,https://ClinicalTrials.gov/show/NCT03539380
9,NCT03537807,Expanded Access Protocol of BHV-0223 for Patients With Amyotrophic Lateral Sclerosis (ALS),,Available,No Results Available,"Amyotrophic Lateral Sclerosis|ALS|Lou Gehrig Disease|Lou Gehrig's Disease|Lou-Gehrigs Disease|Motor Neuron Disease, Amyotrophic Lateral Sclerosis",Drug: Riluzole,,"Biohaven Pharmaceuticals, Inc.",All,"18 Years and older   (Adult, Older Adult)",,null,Industry,"Expanded Access:Treatment IND/Protocol""",,BHV0223-401,null,null,null,25-May-18,null,7-Jun-18,,,https://ClinicalTrials.gov/show/NCT03537807
10,NCT03533361,Expanded Access Program With Lenvatinib for the Treatment of Differentiated Thyroid Cancer in Brazil,,Approved for marketing,No Results Available,Thyroid Cancer,Drug: Lenvatinib,,Eisai Inc.,All,"18 Years and older   (Adult, Older Adult)",,null,Industry,"Expanded Access:Individual Patients""",,E7080-M001-603,null,null,null,23-May-18,null,23-May-18,"Hospital Sirio Libanes, Sao Paulo, São Paulo, Brazil",,https://ClinicalTrials.gov/show/NCT03533361
